콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0010CZE390,4830.00,E,0247,0300,4,0010,110.00,50,안성IC-안성JC,1,101
0010CZE400,13270.00,E,0300,0244,4,0010,110.00,51,안성JC-오산IC,1,101
0010CZE410,3890.00,E,0244,0432,4,0010,110.00,52,오산IC-동탄JC,1,101
0010CZE420,4390.00,E,0432,0462,4,0010,110.00,53,동탄JC-기흥동탄IC,1,101
0010CZE430,700.00,E,0462,0308,5,0010,110.00,54,기흥동탄IC-기흥IC,1,101
0010CZE440,5090.00,E,0308,0305,5,0010,110.00,55,기흥IC-수원신갈IC,1,101
0010CZE450,2680.00,E,0305,0309,5,0010,110.00,56,수원신갈IC-신갈JC,1,101
0010CZE460,8340.00,E,0309,0280,5,0010,110.00,57,신갈JC-서울TG,1,101
0010CZE470,3640.00,E,0280,0274,5,0010,110.00,58,서울TG-판교IC,1,101
0010CZE480,1100.00,E,0274,0273,5,0010,110.00,59,판교IC-판교JC,1,101
0010CZE490,390.00,E,0273,0460,5,0010,110.00,60,판교JC-대왕판교IC,1,101
0010CZE500,570.00,E,0460,0681,5,0010,110.00,61,대왕판교IC-금토JC,1,101
0010CZE505,7050.00,E,0681,0238,5,0010,100.00,62,금토JC-양재IC,0,101
0010CZE510,2490.00,E,0238,0237,4,0010,100.00,63,양재IC-서초IC,1,101
0010CZE520,1780.00,E,0237,0233,4,0010,100.00,64,서초IC-반포IC,1,101
0010CZE521,1380.00,E,0233,0487,4,0010,100.00,65,반포IC-잠원IC,1,101
0010CZE522,1300.00,E,0487,0476,4,0010,100.00,66,잠원IC-한남IC,1,101
0010CZS005,200.00,S,0004,0491,3,0010,100.00,66,구서IC-경부고속국도시점,0,101
0010CZS010,1820.00,S,0446,0004,3,0010,100.00,65,영락IC-구서IC,0,101
0010CZS011,1990.00,S,0486,0446,3,0010,100.00,64,부산TG-영락IC,0,101
0010CZS020,1070.00,S,0447,0486,3,0010,100.00,63,노포IC-부산TG,0,101
0010CZS030,7780.00,S,0669,0447,3,0010,100.00,62,노포JC-노포IC,0,101
0010CZS035,7280.00,S,0155,0669,2,0010,100.00,61,양산JC-노포JC,0,101
0010CZS040,5080.00,S,0453,0155,4,0010,100.00,60,양산IC-양산JC,0,101
0010CZS050,14110.00,S,0652,0453,3,0010,100.00,59,통도사Hi-양산IC,0,101
0010CZS055,1050.00,S,0160,0652,3,0010,100.00,58,통도사IC-통도사Hi,0,101
0010CZS060,1010.00,S,1027,0160,3,0010,100.00,57,서울주JC-통도사IC,0,101
0010CZS065,5420.00,S,0203,1027,3,0010,100.00,56,서울산IC-서울주JC,0,101
0010CZS070,1630.00,S,0204,0203,3,0010,100.00,55,언양JC-서울산IC,0,101
0010CZS080,17090.00,S,0635,0204,3,0010,100.00,54,활천IC-언양JC,0,101
0010CZS085,11060.00,S,0008,0635,2,0010,100.00,53,경주IC-활천IC,0,101
0010CZS090,10400.00,S,0009,0008,3,0010,100.00,52,건천IC-경주IC,0,101
0010CZS100,12180.00,S,1012,0009,3,0010,100.00,51,영천JC-건천IC,0,101
0010CZS105,5550.00,S,0116,1012,2,0010,100.00,50,영천IC-영천JC,0,101
0010CZS110,16450.00,S,0115,0116,3,0010,100.00,49,경산IC-영천IC,0,101
0010CZS120,9260.00,S,0010,0115,4,0010,100.00,48,동대구JC-경산IC,0,101
0010CZS130,4090.00,S,0018,0010,4,0010,100.00,47,도동JC-동대구JC,0,101
0010CZS140,7680.00,S,0012,0018,4,0010,100.00,46,북대구IC-도동JC,0,101
0010CZS150,5480.00,S,0013,0012,4,0010,100.00,45,금호JC-북대구IC,0,101
0010CZS160,10740.00,S,0464,0013,4,0010,100.00,44,칠곡물류IC-금호JC,0,101
0010CZS170,3180.00,S,0117,0464,4,0010,100.00,43,왜관IC-칠곡물류IC,0,101
0010CZS180,13980.00,S,0120,0117,4,0010,100.00,42,남구미IC-왜관IC,0,101
0010CZS190,5070.00,S,0122,0120,4,0010,100.00,41,구미IC-남구미IC,0,101
0010CZS200,10860.00,S,0080,0122,4,0010,100.00,40,김천JC-구미IC,0,101
0010CZS210,9120.00,S,0563,0080,3,0010,100.00,39,동김천IC-김천JC,0,101
0010CZS215,7970.00,S,0123,0563,3,0010,100.00,38,김천IC-동김천IC,0,101
0010CZS220,12030.00,S,0082,0123,3,0010,100.00,37,추풍령IC-김천IC,0,101
0010CZS230,10080.00,S,0096,0082,3,0010,100.00,36,황간IC-추풍령IC,0,101
0010CZS240,9890.00,S,0095,0096,3,0010,100.00,35,영동IC-황간IC,0,101
0010CZS250,16040.00,S,0463,0095,3,0010,100.00,34,금강IC-영동IC,0,101
0010CZS260,11400.00,S,0021,0463,3,0010,100.00,33,옥천IC-금강IC,0,101
0010CZS270,8670.00,S,0108,0021,3,0010,100.00,32,비룡JC-옥천IC,0,101
0010CZS280,4060.00,S,0100,0108,3,0010,100.00,31,대전IC-비룡JC,0,101
0010CZS290,5450.00,S,0102,0100,3,0010,100.00,30,회덕JC-대전IC,0,101
0010CZS300,5090.00,S,0104,0102,4,0010,100.00,29,신탄진IC-회덕JC,0,101
0010CZS310,10070.00,S,0068,0104,4,0010,100.00,28,남청주IC-신탄진IC,1,101
0010CZS320,3550.00,S,0362,0068,4,0010,100.00,27,청주JC-남청주IC,1,101
0010CZS330,3890.00,S,0067,0362,3,0010,100.00,26,남이JC-청주JC,1,101
0010CZS340,4620.00,S,0066,0067,3,0010,100.00,25,청주IC-남이JC,1,101
0010CZS350,3490.00,S,0649,0066,3,0010,100.00,24,옥산IC-청주IC,1,101
0010CZS355,7500.00,S,0673,0649,3,0010,100.00,23,옥산JC-옥산IC,0,101
0010CZS357,13810.00,S,0049,0673,3,0010,100.00,22,목천IC-옥산JC,1,101
0010CZS360,3530.00,S,0050,0049,3,0010,100.00,21,천안JC-목천IC,1,101
0010CZS370,6700.00,S,0052,0050,4,0010,100.00,20,천안IC-천안JC,1,101
0010CZS380,8360.00,S,0562,0052,4,0010,110.00,19,북천안IC-천안IC,1,101
0010CZS385,11610.00,S,0247,0562,4,0010,110.00,18,안성IC-북천안IC,1,101
0010CZS390,4830.00,S,0300,0247,4,0010,110.00,17,안성JC-안성IC,1,101
0010CZS400,13270.00,S,0244,0300,4,0010,110.00,16,오산IC-안성JC,1,101
0010CZS410,3890.00,S,0432,0244,4,0010,110.00,15,동탄JC-오산IC,1,101
0010CZS420,4390.00,S,0462,0432,4,0010,110.00,14,기흥동탄IC-동탄JC,1,101
0010CZS430,700.00,S,0308,0462,5,0010,110.00,13,기흥IC-기흥동탄IC,1,101
0010CZS440,5090.00,S,0305,0308,5,0010,110.00,12,수원신갈IC-기흥IC,1,101
